SPACECRAFT EVENT TIME,SPACECRAFT CLOCK,BX_SC,BY_SC,BZ_SC,B-FIELD MAGNITUDE,ROTOR RIGHT ASCENSION,ROTOR DECLINATION,ROTOR TWIST,ROTOR SPIN
1996-12-19T06:33:27.094,8 3746844:88:0:0,446.21,-143.33,42.18,470.56,5.04430,-0.40843,5.09559,4.96555
1996-12-19T06:33:28.028,1 3746844:88:5:0,443.26,-143.17,40.98,467.61,5.04425,-0.40838,5.20575,5.07571
1996-12-19T06:33:28.061,5 3746844:89:0:0,446.41,-142.13,40.68,470.26,5.04420,-0.40833,5.31620,5.18619
1996-12-19T06:33:28.094,8 3746844:89:5:0,444.29,-144.22,42.22,469.02,5.04420,-0.40833,5.42636,5.29636
1996-12-19T06:33:29.028,1 3746844:90:0:0,444.75,-141.47,34.80,468.00,5.04420,-0.40833,5.53671,5.40670
1996-12-19T06:33:29.061,5 3746844:90:5:0,444.14,-140.55,36.27,467.26,5.04420,-0.40833,5.64720,5.51720
1996-12-19T06:33:29.094,8 3746845:00:0:0,445.74,-140.93,35.59,468.84,5.04420,-0.40833,5.75741,5.62741
1996-12-19T06:33:30.028,1 3746845:00:5:0,445.51,-140.00,38.04,468.54,5.04416,-0.40833,5.86757,5.73757
1996-12-19T06:33:30.061,5 3746845:01:0:0,444.39,-142.50,38.23,468.24,5.04411,-0.40833,5.97773,5.84776
1996-12-19T06:33:30.094,8 3746845:01:5:0,446.59,-141.01,37.67,469.84,5.04411,-0.40833,6.08789,5.95792
1996-12-19T06:33:31.028,1 3746845:02:0:0,442.85,-140.10,38.03,466.04,5.04411,-0.40833,6.19833,6.06836
1996-12-19T06:33:31.061,5 3746845:02:5:0,444.63,-141.60,35.88,468.01,5.04406,-0.40833,0.02564,6.17886
1996-12-19T06:33:31.094,8 3746845:03:0:0,442.86,-142.56,37.76,466.77,5.04401,-0.40833,0.13576,0.00583
1996-12-19T06:33:32.028,1 3746845:03:5:0,441.35,-144.36,37.32,465.85,5.04401,-0.40833,0.24592,0.11599
1996-12-19T06:33:32.061,5 3746845:04:0:0,442.06,-143.72,35.70,466.20,5.04401,-0.40833,0.35617,0.22624
1996-12-19T06:33:32.094,8 3746845:04:5:0,441.13,-145.69,34.20,465.82,5.04401,-0.40833,0.46634,0.33641
1996-12-19T06:33:33.028,1 3746845:05:0:0,441.80,-143.76,33.59,465.81,5.04401,-0.40833,0.57678,0.44685
1996-12-19T06:33:33.061,5 3746845:05:5:0,443.66,-143.34,34.79,467.54,5.04401,-0.40833,0.68727,0.55734
1996-12-19T06:33:33.094,8 3746845:06:0:0,443.01,-145.21,37.61,467.72,5.04401,-0.40833,0.79738,0.66745
1996-12-19T06:33:34.028,1 3746845:06:5:0,443.65,-141.88,35.44,467.13,5.04396,-0.40838,0.90755,0.77762
1996-12-19T06:33:34.061,5 3746845:07:0:0,443.99,-144.48,32.87,468.06,5.04392,-0.40843,1.01789,0.88800
1996-12-19T06:33:34.094,8 3746845:07:5:0,441.77,-144.21,35.24,466.05,5.04392,-0.40843,1.12806,0.99816
1996-12-19T06:33:35.028,1 3746845:08:0:0,444.19,-143.02,35.18,467.98,5.04392,-0.40843,1.23850,1.10860
1996-12-19T06:33:35.061,5 3746845:08:5:0,443.53,-143.17,32.38,467.19,5.04396,-0.40843,1.34900,1.21910
1996-12-19T06:33:35.094,8 3746845:09:0:0,441.46,-144.01,34.04,465.60,5.04401,-0.40843,1.45910,1.32917
1996-12-19T06:33:36.028,1 3746845:09:5:0,441.14,-143.55,35.31,465.25,5.04401,-0.40848,1.56927,1.43934
