SPACECRAFT EVENT TIME,BR,BTHETA,BPHI,B-FIELD MAGNITUDE,RANGE,LATITUDE,LONGITUDE
1997-11-06T20:09:34.358,133.83,441.06,74.86,466.96,5.37769,10.34,152.61
1997-11-06T20:09:34.691,133.79,441.03,74.78,466.91,5.37659,10.35,152.62
1997-11-06T20:09:35.024,133.99,440.99,74.72,466.91,5.37550,10.35,152.62
1997-11-06T20:09:35.358,134.13,440.74,74.43,466.67,5.37440,10.35,152.63
1997-11-06T20:09:35.691,134.05,440.78,74.40,466.69,5.37330,10.35,152.63
1997-11-06T20:09:36.024,133.91,440.69,74.45,466.56,5.37221,10.35,152.64
1997-11-06T20:09:36.358,134.00,440.45,74.37,466.35,5.37111,10.36,152.64
1997-11-06T20:09:36.691,133.95,440.38,74.28,466.25,5.37002,10.36,152.65
1997-11-06T20:09:37.024,133.97,440.18,74.09,466.04,5.36892,10.36,152.65
1997-11-06T20:09:37.358,134.19,440.12,74.04,466.04,5.36783,10.36,152.66
1997-11-06T20:09:37.691,133.98,439.97,74.23,465.87,5.36673,10.37,152.66
1997-11-06T20:09:38.024,134.00,440.09,73.95,465.95,5.36564,10.37,152.67
1997-11-06T20:09:38.358,133.98,439.92,73.82,465.76,5.36454,10.37,152.67
1997-11-06T20:09:38.691,133.59,440.01,74.11,465.78,5.36345,10.37,152.68
1997-11-06T20:09:39.024,133.88,440.26,74.04,466.08,5.36235,10.38,152.68
1997-11-06T20:09:39.358,133.87,440.48,73.76,466.25,5.36125,10.38,152.69
1997-11-06T20:09:39.691,133.88,440.48,73.99,466.29,5.36016,10.38,152.69
1997-11-06T20:09:40.024,133.78,440.54,74.14,466.34,5.35907,10.38,152.70
1997-11-06T20:09:40.358,133.65,440.78,74.10,466.52,5.35797,10.38,152.70
1997-11-06T20:09:40.691,133.70,440.78,74.10,466.54,5.35688,10.39,152.71
1997-11-06T20:09:41.024,133.71,440.74,74.23,466.52,5.35578,10.39,152.71
1997-11-06T20:09:41.358,133.77,440.74,74.22,466.54,5.35468,10.39,152.71
1997-11-06T20:09:41.691,133.88,440.72,74.32,466.56,5.35359,10.39,152.72
1997-11-06T20:09:42.024,133.47,440.81,74.23,466.52,5.35250,10.40,152.72
1997-11-06T20:09:42.358,133.42,441.00,74.04,466.65,5.35140,10.40,152.73
1997-11-06T20:09:42.691,133.70,441.00,74.03,466.73,5.35031,10.40,152.73
1997-11-06T20:09:43.024,133.86,441.05,73.93,466.81,5.34921,10.40,152.74
1997-11-06T20:09:43.358,134.03,441.09,73.81,466.88,5.34812,10.40,152.74
1997-11-06T20:09:43.691,134.01,441.23,73.76,466.99,5.34702,10.41,152.75
1997-11-06T20:09:44.024,134.08,441.33,73.88,467.12,5.34593,10.41,152.75
1997-11-06T20:09:44.358,134.28,441.26,73.66,467.09,5.34483,10.41,152.76
1997-11-06T20:09:44.691,134.37,441.07,73.76,466.95,5.34374,10.41,152.76
1997-11-06T20:09:45.024,134.47,441.04,73.86,466.96,5.34265,10.42,152.77
1997-11-06T20:09:45.358,134.57,441.11,73.48,467.00,5.34155,10.42,152.77
1997-11-06T20:09:45.691,134.34,441.10,73.56,466.94,5.34046,10.42,152.78
1997-11-06T20:09:46.024,134.03,441.11,73.50,466.85,5.33937,10.42,152.78
1997-11-06T20:09:46.358,134.01,440.95,73.54,466.69,5.33827,10.43,152.79
1997-11-06T20:09:46.691,133.74,440.96,73.69,466.65,5.33718,10.43,152.79
1997-11-06T20:09:47.024,133.74,441.08,73.85,466.79,5.33608,10.43,152.80
1997-11-06T20:09:47.358,133.53,441.06,73.82,466.71,5.33499,10.43,152.80
1997-11-06T20:09:47.691,133.81,441.22,74.17,466.99,5.33390,10.43,152.81
1997-11-06T20:09:48.024,133.70,441.30,74.30,467.06,5.33280,10.44,152.81
1997-11-06T20:09:48.358,133.53,441.52,73.95,467.16,5.33171,10.44,152.82
1997-11-06T20:09:48.691,133.67,441.70,73.96,467.37,5.33061,10.44,152.82
1997-11-06T20:09:49.024,133.70,441.79,73.64,467.41,5.32952,10.44,152.83
1997-11-06T20:09:49.358,133.77,441.66,73.51,467.29,5.32843,10.45,152.83
1997-11-06T20:09:49.691,133.97,441.74,73.48,467.42,5.32733,10.45,152.84
1997-11-06T20:09:50.024,134.13,441.66,73.40,467.38,5.32624,10.45,152.84
1997-11-06T20:09:50.358,134.15,441.48,73.41,467.21,5.32515,10.45,152.85
1997-11-06T20:09:50.691,133.99,441.46,73.34,467.13,5.32405,10.46,152.85
1997-11-06T20:09:51.024,134.07,441.46,73.19,467.14,5.32296,10.46,152.86
1997-11-06T20:09:51.358,134.10,441.30,73.18,466.99,5.32187,10.46,152.86
1997-11-06T20:09:51.691,133.84,441.39,73.55,467.06,5.32077,10.46,152.87
1997-11-06T20:09:52.024,133.62,441.46,73.80,467.10,5.31968,10.47,152.87
1997-11-06T20:09:52.358,133.60,441.45,74.04,467.13,5.31859,10.47,152.88
1997-11-06T20:09:52.691,133.37,441.63,74.12,467.24,5.31749,10.47,152.88
1997-11-06T20:09:53.024,133.36,441.77,74.01,467.35,5.31640,10.47,152.89
1997-11-06T20:09:53.358,133.45,441.77,74.16,467.41,5.31531,10.47,152.89
1997-11-06T20:09:53.691,133.46,441.71,73.87,467.30,5.31422,10.48,152.90
1997-11-06T20:09:54.024,133.50,441.66,73.75,467.25,5.31312,10.48,152.90
1997-11-06T20:09:54.358,133.45,441.63,73.89,467.23,5.31203,10.48,152.91
1997-11-06T20:09:54.691,133.47,441.70,73.66,467.27,5.31094,10.48,152.91
1997-11-06T20:09:55.024,133.51,441.67,73.48,467.22,5.30985,10.49,152.92
1997-11-06T20:09:55.358,133.65,441.35,73.13,466.91,5.30875,10.49,152.92
1997-11-06T20:09:55.691,133.58,441.33,73.25,466.88,5.30766,10.49,152.93
1997-11-06T20:09:56.024,133.54,441.20,72.91,466.70,5.30657,10.49,152.93
1997-11-06T20:09:56.358,133.60,441.01,72.90,466.54,5.30547,10.50,152.94
1997-11-06T20:09:56.691,133.63,440.88,72.87,466.41,5.30438,10.50,152.94
1997-11-06T20:09:57.024,133.53,440.82,72.81,466.32,5.30329,10.50,152.95
1997-11-06T20:09:57.358,133.55,440.67,72.75,466.18,5.30220,10.50,152.95
1997-11-06T20:09:57.691,133.52,440.64,72.66,466.12,5.30111,10.50,152.96
1997-11-06T20:09:58.024,133.50,440.62,72.69,466.10,5.30001,10.51,152.96
1997-11-06T20:09:58.358,133.45,440.43,72.78,465.93,5.29892,10.51,152.97
1997-11-06T20:09:58.691,133.45,440.29,72.72,465.78,5.29783,10.51,152.97
1997-11-06T20:09:59.024,133.36,440.35,72.48,465.77,5.29674,10.51,152.98
1997-11-06T20:09:59.358,133.29,440.37,72.44,465.76,5.29564,10.52,152.98
1997-11-06T20:09:59.691,133.30,440.45,72.56,465.87,5.29455,10.52,152.99
1997-11-06T20:10:00.024,133.39,440.42,72.72,465.89,5.29346,10.52,152.99
1997-11-06T20:10:00.358,133.36,440.63,72.64,466.06,5.29237,10.52,153.00
1997-11-06T20:10:00.691,133.62,440.71,72.46,466.19,5.29128,10.53,153.00
1997-11-06T20:10:01.024,133.39,440.84,72.33,466.22,5.29019,10.53,153.01
1997-11-06T20:10:01.358,133.47,440.94,72.08,466.31,5.28909,10.53,153.01
1997-11-06T20:10:01.691,133.12,441.12,72.36,466.41,5.28800,10.53,153.02
1997-11-06T20:10:02.024,133.22,441.25,72.15,466.54,5.28691,10.54,153.02
1997-11-06T20:10:02.358,133.38,441.38,72.03,466.69,5.28582,10.54,153.03
1997-11-06T20:10:02.691,133.70,441.35,71.90,466.72,5.28473,10.54,153.03
1997-11-06T20:10:03.024,133.68,441.43,71.90,466.80,5.28364,10.54,153.04
1997-11-06T20:10:03.358,133.83,441.40,71.89,466.81,5.28254,10.54,153.04
1997-11-06T20:10:03.691,133.94,441.25,72.12,466.74,5.28145,10.55,153.05
1997-11-06T20:10:04.024,133.94,441.12,72.36,466.65,5.28036,10.55,153.06
1997-11-06T20:10:04.358,133.99,441.04,72.29,466.58,5.27927,10.55,153.06
1997-11-06T20:10:04.691,133.86,440.93,72.20,466.43,5.27818,10.55,153.07
1997-11-06T20:10:05.024,133.52,441.05,72.68,466.52,5.27709,10.56,153.07
1997-11-06T20:10:05.358,133.56,441.00,72.44,466.44,5.27600,10.56,153.08
1997-11-06T20:10:05.691,133.42,441.01,72.39,466.41,5.27491,10.56,153.08
1997-11-06T20:10:06.024,133.32,441.19,72.49,466.56,5.27382,10.56,153.09
1997-11-06T20:10:06.358,133.13,441.14,72.60,466.47,5.27272,10.57,153.09
1997-11-06T20:10:06.691,132.93,441.40,72.55,466.65,5.27163,10.57,153.10
1997-11-06T20:10:07.024,133.08,441.62,72.67,466.92,5.27054,10.57,153.10
1997-11-06T20:10:07.358,132.88,441.79,72.46,466.99,5.26945,10.57,153.11
1997-11-06T20:10:07.691,133.01,441.91,72.52,467.16,5.26836,10.58,153.11
1997-11-06T20:10:08.024,132.96,442.29,72.09,467.43,5.26727,10.58,153.12
1997-11-06T20:10:08.358,133.14,442.35,71.89,467.51,5.26618,10.58,153.12
1997-11-06T20:10:08.691,133.23,442.36,71.87,467.55,5.26509,10.58,153.13
1997-11-06T20:10:09.024,133.48,442.43,71.61,467.64,5.26400,10.58,153.13
1997-11-06T20:10:09.358,133.61,442.37,71.34,467.58,5.26291,10.59,153.14
1997-11-06T20:10:09.691,133.23,442.26,71.67,467.42,5.26182,10.59,153.14
1997-11-06T20:10:10.024,133.16,442.23,71.84,467.39,5.26073,10.59,153.15
1997-11-06T20:10:10.358,133.18,442.15,71.93,467.34,5.25964,10.59,153.15
1997-11-06T20:10:10.691,133.09,442.18,72.16,467.38,5.25855,10.60,153.16
1997-11-06T20:10:11.024,132.90,442.28,72.43,467.47,5.25746,10.60,153.16
1997-11-06T20:10:11.358,132.77,442.32,72.39,467.46,5.25637,10.60,153.17
1997-11-06T20:10:11.691,132.70,442.39,72.29,467.48,5.25528,10.60,153.17
1997-11-06T20:10:12.024,132.69,442.44,72.23,467.52,5.25419,10.61,153.18
1997-11-06T20:10:12.358,132.68,442.39,72.24,467.47,5.25310,10.61,153.18
1997-11-06T20:10:12.691,132.38,442.38,72.14,467.36,5.25201,10.61,153.19
1997-11-06T20:10:13.024,132.35,442.27,71.99,467.23,5.25092,10.61,153.19
1997-11-06T20:10:13.358,132.56,442.18,72.01,467.20,5.24983,10.62,153.20
1997-11-06T20:10:13.691,132.53,442.08,71.71,467.06,5.24874,10.62,153.20
1997-11-06T20:10:14.024,132.46,442.12,71.72,467.07,5.24765,10.62,153.21
1997-11-06T20:10:14.358,132.74,441.94,71.28,466.91,5.24656,10.62,153.21
1997-11-06T20:10:14.691,132.89,441.99,71.18,466.99,5.24547,10.63,153.22
1997-11-06T20:10:15.024,132.64,441.87,71.00,466.78,5.24438,10.63,153.22
1997-11-06T20:10:15.358,132.54,441.89,70.87,466.75,5.24329,10.63,153.23
1997-11-06T20:10:15.691,132.62,441.67,71.55,466.67,5.24220,10.63,153.23
1997-11-06T20:10:16.024,132.47,441.68,71.71,466.66,5.24111,10.63,153.24
1997-11-06T20:10:16.358,132.21,441.67,71.58,466.55,5.24002,10.64,153.24
1997-11-06T20:10:16.691,132.26,441.47,71.65,466.39,5.23893,10.64,153.25
1997-11-06T20:10:17.024,132.15,441.51,71.69,466.41,5.23785,10.64,153.26
1997-11-06T20:10:17.358,132.30,441.66,71.62,466.58,5.23675,10.64,153.26
1997-11-06T20:10:17.691,132.22,441.64,71.71,466.55,5.23567,10.65,153.27
1997-11-06T20:10:18.024,131.93,441.80,71.59,466.60,5.23458,10.65,153.27
1997-11-06T20:10:18.358,131.91,441.83,71.63,466.63,5.23349,10.65,153.28
1997-11-06T20:10:18.691,131.95,442.03,71.61,466.83,5.23240,10.65,153.28
1997-11-06T20:10:19.024,131.96,441.95,71.62,466.75,5.23131,10.66,153.29
1997-11-06T20:10:19.358,131.92,442.05,71.44,466.82,5.23022,10.66,153.29
1997-11-06T20:10:19.691,132.11,442.12,71.55,466.95,5.22913,10.66,153.30
1997-11-06T20:10:20.024,131.98,442.19,71.64,467.00,5.22805,10.66,153.30
